"annio","nombre","categoria","edad","genero"
1938,"Richard Kuhn","chemistry",38,"male"
1905,"Philipp Eduard Anton von Lenard","physics",43,"male"
2001,"K. Barry Sharpless","chemistry",60,"male"
1926,"The (Theodor) Svedberg","chemistry",42,"male"
1902,"Ronald Ross","medicine",45,"male"
1957,"Lord (Alexander R.) Todd","chemistry",50,"male"
1939,"Leopold Ruzicka","chemistry",52,"male"
1972,"Christian B. Anfinsen","chemistry",56,"male"
1901,"Emil Adolf von Behring","medicine",47,"male"
1939,"Adolf Friedrich Johann Butenandt","chemistry",36,"male"
1911,"Allvar Gullstrand","medicine",49,"male"
1926,"Jean Baptiste Perrin","physics",56,"male"
1923,"Robert Andrews Millikan","physics",55,"male"
1910,"Johannes Diderik van der Waals","physics",73,"male"
1983,"Henry Taube","chemistry",68,"male"
1914,"Robert B<U+0088>r<U+0088>ny","medicine",38,"male"
1909,"Emil Theodor Kocher","medicine",68,"male"
1930,"Sir Chandrasekhara Venkata Raman","physics",42,"male"
1975,"John Warcup Cornforth","chemistry",58,"male"
1958,"Frederick Sanger","chemistry",40,"male"
1928,"Owen Willans Richardson","physics",49,"male"
1943,"George de Hevesy","chemistry",58,"male"
1928,"Charles Jules Henri Nicolle","medicine",62,"male"
1925,"George Bernard Shaw","literature",69,"male"
1964,"Jean-Paul Sartre","literature",59,"male"
1972,"Heinrich B_ll","literature",55,"male"
1969,"Samuel Beckett","literature",63,"male"
1990,"Octavio Paz","literature",76,"male"
2015,"Aziz Sancar","chemistry",69,"male"
2015,"Paul Modrich","chemistry",69,"male"
2015,"Tomas Lindahl","chemistry",77,"male"
2003,"Clive W.J. Granger","economics",69,"male"
2003,"Robert F. Engle III","economics",61,"male"
2010,"Akira Suzuki","chemistry",80,"male"
2010,"Ei-ichi Negishi","chemistry",75,"male"
2010,"Richard F. Heck","chemistry",79,"male"
2002,"Raymond Davis Jr.","physics",88,"male"
2002,"Masatoshi Koshiba","physics",76,"male"
2002,"Riccardo Giacconi","physics",71,"male"
2003,"Alexei A. Abrikosov","physics",75,"male"
2003,"Vitaly L. Ginzburg","physics",87,"male"
2003,"Anthony J. Leggett","physics",65,"male"
2003,"Roderick MacKinnon","chemistry",47,"male"
2012,"Robert J. Lefkowitz","chemistry",69,"male"
2012,"Brian K. Kobilka","chemistry",57,"male"
2009,"Thomas A. Steitz","chemistry",69,"male"
2001,"Carl E. Wieman","physics",50,"male"
2001,"Eric A. Cornell","physics",40,"male"
2001,"Wolfgang Ketterle","physics",44,"male"
2014,"Patrick Modiano","literature",69,"male"
1965,"Mikhail Aleksandrovich Sholokhov","literature",60,"male"
1937,"Roger Martin du Gard","literature",56,"male"
1951,"P_r Fabian Lagerkvist","literature",60,"male"
1954,"Walther Bothe","physics",63,"male"
1980,"Lawrence R. Klein","economics",60,"male"
1932,"Werner Karl Heisenberg","physics",31,"male"
1952,"Fran<U+008D>ois Mauriac","literature",67,"male"
1995,"Frederick Reines","physics",77,"male"
1988,"Johann Deisenhofer","chemistry",45,"male"
1988,"Hartmut Michel","chemistry",40,"male"
1988,"Robert Huber","chemistry",51,"male"
1979,"Godfrey N. Hounsfield","medicine",60,"male"
1979,"Allan M. Cormack","medicine",55,"male"
2010,"Robert G. Edwards","medicine",85,"male"
2013,"Martin Karplus","chemistry",83,"male"
2013,"Arieh Warshel","chemistry",73,"male"
2013,"Michael Levitt","chemistry",66,"male"
1994,"Bertram N. Brockhouse","physics",76,"male"
2014,"Eric Betzig","chemistry",54,"male"
2014,"Stefan W. Hell","chemistry",52,"male"
2014,"William E. Moerner","chemistry",61,"male"
1973,"Wassily Leontief","economics",67,"male"
1989,"Wolfgang Paul","physics",76,"male"
1989,"Hans G. Dehmelt","physics",67,"male"
2005,"Richard R. Schrock","chemistry",60,"male"
2005,"Robert H. Grubbs","chemistry",63,"male"
2005,"Yves Chauvin","chemistry",75,"male"
1994,"Clifford G. Shull","physics",79,"male"
2000,"Alan G. MacDiarmid","chemistry",73,"male"
2000,"Alan J. Heeger","chemistry",64,"male"
2000,"Hideki Shirakawa","chemistry",64,"male"
1966,"Alfred Kastler","physics",64,"male"
2008,"Osamu Shimomura","chemistry",80,"male"
2008,"Martin Chalfie","chemistry",61,"male"
2008,"Roger Y. Tsien","chemistry",56,"male"
1958,"Pavel Alekseyevich Cherenkov","physics",54,"male"
1958,"Il<U+0082>ja Mikhailovich Frank","physics",50,"male"
1958,"Igor Yevgenyevich Tamm","physics",63,"male"
1993,"Joseph H. Taylor Jr.","physics",52,"male"
1993,"Russell A. Hulse","physics",43,"male"
2004,"Frank Wilczek","physics",53,"male"
2004,"H. David Politzer","physics",55,"male"
2004,"David J. Gross","physics",63,"male"
2007,"Peter Gr<f4>nberg","physics",68,"male"
2007,"Albert Fert","physics",69,"male"
2009,"Jack W. Szostak","medicine",57,"male"
1923,"John James Rickard Macleod","medicine",47,"male"
1923,"Frederick Grant Banting","medicine",32,"male"
2015,"Takaaki Kajita","physics",56,"male"
2015,"Arthur B. McDonald","physics",72,"male"
1933,"Erwin Schr_dinger","physics",46,"male"
1933,"Paul Adrien Maurice Dirac","physics",31,"male"
1945,"Sir Alexander Fleming","medicine",64,"male"
1945,"Ernst Boris Chain","medicine",39,"male"
1945,"Sir Howard Walter Florey","medicine",47,"male"
2011,"Dan Shechtman","chemistry",70,"male"
1978,"Hamilton O. Smith","medicine",47,"male"
1978,"Daniel Nathans","medicine",50,"male"
1978,"Werner Arber","medicine",49,"male"
2011,"Adam G. Riess","physics",42,"male"
2011,"Brian P. Schmidt","physics",44,"male"
1939,"Gerhard Domagk","medicine",44,"male"
1975,"Aage Niels Bohr","physics",53,"male"
1975,"Ben Roy Mottelson","physics",49,"male"
1975,"Leo James Rainwater","physics",58,"male"
1945,"Wolfgang Pauli","physics",45,"male"
2008,"Yoichiro Nambu","physics",87,"male"
1935,"James Chadwick","physics",44,"male"
2008,"Toshihide Maskawa","physics",68,"male"
2008,"Makoto Kobayashi","physics",64,"male"
1946,"Hermann Joseph Muller","medicine",56,"male"
1985,"Klaus von Klitzing","physics",42,"male"
1968,"Lars Onsager","chemistry",65,"male"
1938,"Corneille Jean Fran<U+008D>ois Heymans","medicine",46,"male"
1912,"Victor Grignard","chemistry",41,"male"
1995,"Martin L. Perl","physics",68,"male"
2004,"Avram Hershko","chemistry",67,"male"
2004,"Aaron Ciechanover","chemistry",57,"male"
2004,"Irwin Rose","chemistry",78,"male"
1980,"James Watson Cronin","physics",49,"male"
1980,"Val Logsdon Fitch","physics",57,"male"
2003,"Peter Agre","chemistry",54,"male"
2012,"Sir John B. Gurdon","medicine",79,"male"
2012,"Shinya Yamanaka","medicine",50,"male"
1999,"G<f4>nter Blobel","medicine",63,"male"
1961,"Ivo Andric","literature",69,"male"
1970,"Aleksandr Isayevich Solzhenitsyn","literature",52,"male"
1997,"Jens C. Skou","chemistry",79,"male"
1922,"Jacinto Benavente","literature",56,"male"
1976,"Saul Bellow","literature",61,"male"
1939,"Ernest Orlando Lawrence","physics",38,"male"
1946,"Percy Williams Bridgman","physics",64,"male"
2009,"George E. Smith","physics",79,"male"
2009,"Willard S. Boyle","physics",85,"male"
2014,"Hiroshi Amano","physics",54,"male"
2014,"Isamu Akasaki","physics",85,"male"
2014,"Shuji Nakamura","physics",60,"male"
1960,"Donald Arthur Glaser","physics",34,"male"
1989,"Norman F. Ramsey","physics",74,"male"
1988,"Leon M. Lederman","physics",66,"male"
1988,"Jack Steinberger","physics",67,"male"
1988,"Melvin Schwartz","physics",56,"male"
1936,"Eugene Gladstone O'Neill","literature",48,"male"
1944,"Johannes Vilhelm Jensen","literature",71,"male"
1970,"Paul A. Samuelson","economics",55,"male"
1928,"Adolf Otto Reinhold Windaus","chemistry",52,"male"
1960,"Saint-John Perse","literature",73,"male"
1933,"Ivan Alekseyevich Bunin","literature",63,"male"
1918,"Fritz Haber","chemistry",50,"male"
2013,"Fran<U+008D>ois Englert","physics",81,"male"
2013,"Peter W. Higgs","physics",84,"male"
2012,"Alvin E. Roth","economics",61,"male"
2012,"Lloyd S. Shapley","economics",89,"male"
2001,"George A. Akerlof","economics",61,"male"
2001,"Joseph E. Stiglitz","economics",58,"male"
2001,"A. Michael Spence","economics",58,"male"
2010,"Dale T. Mortensen","economics",71,"male"
2010,"Peter A. Diamond","economics",70,"male"
2010,"Christopher A. Pissarides","economics",62,"male"
1981,"Nicolaas Bloembergen","physics",61,"male"
1981,"Arthur Leonard Schawlow","physics",60,"male"
1972,"William H. Stein","chemistry",61,"male"
1972,"Stanford Moore","chemistry",59,"male"
1980,"Frederick Sanger","chemistry",62,"male"
1980,"Walter Gilbert","chemistry",48,"male"
1986,"Yuan T. Lee","chemistry",50,"male"
1986,"Dudley R. Herschbach","chemistry",54,"male"
1986,"John C. Polanyi","chemistry",57,"male"
2004,"Edward C. Prescott","economics",64,"male"
2004,"Finn E. Kydland","economics",61,"male"
2005,"John L. Hall","physics",71,"male"
2005,"Theodor W. H_nsch","physics",64,"male"
1969,"Derek H. R. Barton","chemistry",51,"male"
1969,"Odd Hassel","chemistry",72,"male"
